	symbol	period_change	Squeeze Momentum change	change diff	sm last day sig
78	BA	-6.435159063109797	12.204830046232136	18.639989109341933	Buy
79	AXP	-15.768413322437347	3.0747940644576155	18.843207386894964	sell
80	NOW	-2.218396462311727	3.5413044677621803	5.759700930073907	sell
81	ADI	10.752968135761757	8.3006414483353	-2.4523266874264564	hold
82	MDLZ	-1.295531879612551	0.0	1.295531879612551	Buy
83	CI	6.376143116044835	-4.9803382265007095	-11.356481342545544	sell
84	TMUS	10.545935684152912	3.2963665632493355	-7.249569120903576	Buy
85	ZTS	-1.0293876723781215	0.0	1.0293876723781215	hold
86	DUK	-4.528825084534981	-0.722546100919135	3.8062789836158464	Buy
87	GE	-15.97740044028072	1.5896977651015185	17.567098205382237	Buy
88	ISRG	-4.718525660389666	-0.9789643940792448	3.7395612663104214	hold
